instance Boomer-SAT-W2 Boomer-MaxSAT
instance264 0.001 0.001
instance265 0.001 0.001
instance266 0.001 0.001
instance267 0.001 0.001
instance268 0.001 0.001
instance269 0.001 0.001
instance270 0.001 0.001
instance271 0.001 0.001
instance272 0.001 0.001
instance273 0.001 0.001
instance274 0.001 0.001
instance275 0.001 0.001
instance276 0.001 0.001
instance277 0.001 0.001
instance278 0.001 0.001
instance279 0.001 0.001
instance280 0.001 0.001
instance281 0.001 0.001
instance282 0.001 0.001
instance283 0.001 0.001
instance284 0.001 0.001
instance285 0.001 0.001
instance286 0.001 0.001
instance287 0.001 0.001
instance288 0.001 0.001
instance289 0.001 0.001
instance290 0.001 0.001
instance291 0.001 0.001
instance292 0.001 0.001
instance293 0.001 0.001
instance294 0.001 0.001
instance295 0.001 0.001
instance296 0.001 0.001
instance297 0.001 0.001
instance298 0.001 0.001
instance299 0.001 0.001
instance300 0.001 0.001
instance301 0.001 0.001
instance302 0.001 0.001
instance303 0.001 0.001
instance304 0.001 0.001
instance305 0.014 0.015
instance306 0.003 0.011
instance307 0.003 0.006
instance308 0.002 0.007
instance309 0.005 0.017
instance310 0.002 0.015
instance311 0.015 0.022
instance312 0.01 0.014
instance313 0.002 0.005
instance314 0.005 0.01
instance315 0.005 0.006
instance316 0.008 0.006
instance317 0.003 0.007
instance318 0.003 0.007
instance319 0.003 0.008
instance320 0.004 0.016
instance321 0.009 0.015
instance322 0.005 0.008
instance323 0.003 0.006
instance324 0.002 0.012
instance325 0.006 0.021
instance326 0.007 0.016
instance327 0.008 0.018
instance328 0.004 0.013
instance329 0.006 0.009
instance330 0.013 0.025
instance331 0.004 0.011
instance332 0.002 0.014
instance333 0.002 0.013
instance334 0.008 0.019
instance335 0.005 0.009
instance336 0.003 0.02
instance337 0.009 0.026
instance338 0.004 0.013
instance339 0.007 0.01
instance340 0.008 0.026
instance341 0.008 0.009
instance342 0.006 0.011
instance343 0.002 0.011
instance344 0.003 0.005
instance345 0.005 0.022
instance346 0.004 0.016
instance347 0.003 0.006
instance348 0.006 0.012
instance349 0.002 0.009
instance350 0.003 0.009
instance351 0.002 0.012
instance352 0.011 0.012
instance353 0.011 0.005
instance354 0.008 0.014
instance355 0.013 0.013
instance356 0.007 0.01
instance357 0.014 0.012
instance358 0.012 0.006
instance359 0.003 0.006
instance360 0.005 0.005
instance361 0.004 0.024
instance362 0.004 0.009
instance363 0.009 0.018
instance364 0.004 0.012
instance365 0.004 0.008
instance366 0.003 0.014
instance367 0.003 0.006
instance368 0.004 0.013
instance369 0.011 0.008
instance370 0.006 0.009
instance371 0.005 0.006
instance372 0.01 0.017
instance373 0.003 0.008
instance374 0.007 0.007
